 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -843,032815 -647,817725 -796,031052 -552,311446 -754,084097 -740,824379 -765,719625 -934,791621 -801,472759 -862,936753 -769,9022272 -934,7916211616514 484,02664510692955 435,39879088049565
gBest2 -854,395785 -780,105815 -858,561745 -820,644943 -773,244344 -858,550203 -850,561457 -934,791621 -804,251943 -928,505478 -846,3613334 -934,7916211616514 484,02664510692955 435,39879088049565
gBest3 -858,375024 -847,29969 -913,974017 -820,701826 -819,181906 -858,550203 -858,265784 -957,364903 -815,875774 -949,482063 -869,907119 -957,3649028248934 512 405,6404413523321
gBest4 -858,375024 -854,600277 -913,974017 -820,95737 -819,181906 -858,550203 -873,084364 -957,364903 -815,875774 -959,283382 -873,124722 -959,2833823204408 512,0 403,67012616447835
gBest5 -858,375024 -858,531011 -926,024418 -825,951832 -819,181906 -858,550203 -887,614896 -959,573186 -820,112151 -959,283382 -877,3198009 -959,5731864982557 512,0 403,9879769328757
gBest6 -858,375024 -858,531011 -952,108279 -825,951832 -819,181906 -858,594506 -894,70542 -959,573186 -820,112151 -959,594842 -880,6728157 -959,5948424042599 512,0 404,43243404751934
gBest7 -858,375024 -959,400249 -958,361272 -825,951832 -819,181906 -870,984033 -956,082606 -959,573186 -820,162159 -959,594842 -898,7667109 -959,5948424042599 512,0 404,43243404751934
gBest8 -858,660616 -959,400249 -959,000998 -853,466345 -819,181906 -956,50224 -956,082606 -959,590919 -821,182295 -959,594842 -910,2663016 -959,5948424042599 512,0 404,43243404751934
gBest9 -872,606448 -959,62398 -959,45278 -878,45865 -820,877722 -956,50224 -959,087077 -959,590919 -821,182295 -959,594842 -914,6976953 -959,6239795618709 512 404,1106148872765
gBest10 -959,419092 -959,62398 -959,45278 -959,146913 -820,877722 -958,85971 -959,557795 -959,590919 -856,962949 -959,594842 -935,3086701999999 -959,6239795618709 512 404,1106148872765
