 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -874,265448 -567,731828 -672,435745 -771,617597 -777,733624 -507,538172 -780,286056 -691,263965 -756,596477 -743,435028 -714,290394 -874,2654484110778 339,4814716009671 490,9469212087638
gBest2 -874,265448 -793,462075 -857,501376 -845,326872 -777,733624 -616,785075 -780,286056 -792,761553 -756,596477 -793,065963 -788,7784519 -874,2654484110778 339,4814716009671 490,9469212087638
gBest3 -874,265448 -923,66471 -857,501376 -856,333317 -777,733624 -811,473229 -952,720798 -931,162835 -808,738867 -793,065963 -858,6660167 -952,7207975642685 510,18782193420265 403,0756926178769
gBest4 -874,265448 -953,824657 -857,501376 -856,333317 -777,733624 -857,6823 -952,720798 -954,228569 -808,738867 -793,065963 -868,6094919 -954,2285687367385 512 402,03241986611704
gBest5 -874,265448 -956,43332 -958,535006 -856,333317 -868,733312 -857,6823 -952,720798 -954,228569 -820,256234 -793,065963 -889,2254267 -958,5350063433291 512 405,2149081393269
gBest6 -874,265448 -956,43332 -958,535006 -856,333317 -893,882185 -857,6823 -955,210409 -954,228569 -820,256234 -808,005559 -893,4832347 -958,5350063433291 512 405,2149081393269
gBest7 -874,265448 -958,041241 -959,557583 -856,333317 -893,882185 -857,6823 -955,210409 -959,639741 -820,256234 -830,374366 -896,5242824 -959,6397414537753 512 404,2602696385453
gBest8 -874,265448 -958,041241 -959,557583 -856,333317 -893,882185 -871,464434 -959,640001 -959,639741 -821,195569 -830,374366 -898,4393885 -959,640001163934 512 404,2076799194113
gBest9 -874,265448 -958,737336 -959,557583 -856,333317 -893,882185 -871,464434 -959,640001 -959,639741 -821,195569 -830,374366 -898,508998 -959,640001163934 512 404,2076799194113
gBest10 -958,907128 -959,366611 -959,557583 -858,256969 -893,882185 -871,464434 -959,640001 -959,639741 -821,195569 -857,338671 -909,9248892 -959,640001163934 512 404,2076799194113
